"","Name","Team","Number","Position","Age","Height","Weight","College","Salary"
"121","Nick Young","Los Angeles Lakers",0,"SF",31,"06-Jul",210,"USC",5219169
"122","Eric Bledsoe","Phoenix Suns",2,"PG",24,"06-Jan",190,"Kentucky",13500000
"123","Devin Booker","Phoenix Suns",1,"SG",19,"06-Jun",206,"Kentucky",2127840
"124","Chase Budinger","Phoenix Suns",10,"SF",28,"06-Jul",209,"Arizona",206192
"125","Tyson Chandler","Phoenix Suns",4,"C",33,"07-Jan",240,"Missouri",1.3e+07
"126","Archie Goodwin","Phoenix Suns",5,"SG",21,"06-May",200,"Kentucky",1160160
"127","John Jenkins","Phoenix Suns",23,"SG",25,"06-Apr",221.270783847981,"Vanderbilt",981348
"128","Brandon Knight","Phoenix Suns",3,"PG",24,"06-Mar",189,"Kentucky",13500000
"129","Alex Len","Phoenix Suns",21,"C",22,"07-Jan",260,"Maryland",3807120
"130","Jon Leuer","Phoenix Suns",30,"PF",27,"06-Oct",228,"Wisconsin",1035000
"131","Phil Pressey","Phoenix Suns",25,"PG",25,"05-Nov",175,"Missouri",55722
"132","Ronnie Price","Phoenix Suns",14,"PG",32,"06-Feb",190,"Utah Valley",947276
"133","Mirza Teletovic","Phoenix Suns",35,"PF",30,"06-Sep",242,"Connecticut",5500000
"134","P.J. Tucker","Phoenix Suns",17,"SF",31,"06-Jun",245,"Texas",5500000
"135","T.J. Warren","Phoenix Suns",12,"SF",22,"06-Aug",230,"North Carolina State",2041080
"136","Alan Williams","Phoenix Suns",15,"C",23,"06-Aug",260,"UC Santa Barbara",83397
"137","Quincy Acy","Sacramento Kings",13,"SF",25,"06-Jul",240,"Baylor",981348
"138","James Anderson","Sacramento Kings",5,"SG",27,"06-Jun",213,"Oklahoma State",1015421
"139","Marco Belinelli","Sacramento Kings",5,"SG",30,"06-May",210,"Kentucky",6060606
"140","Caron Butler","Sacramento Kings",31,"SF",36,"06-Jul",228,"Connecticut",1449187
"141","Omri Casspi","Sacramento Kings",18,"SF",27,"06-Sep",225,"Marquette",2836186
"142","Willie Cauley-Stein","Sacramento Kings",0,"C",22,"7-0",240,"Kentucky",3398280
"143","Darren Collison","Sacramento Kings",7,"PG",28,"6-0",175,"UCLA",5013559
"144","DeMarcus Cousins","Sacramento Kings",15,"C",25,"06-Nov",221.270783847981,"Kentucky",15851950
"145","Seth Curry","Sacramento Kings",30,"SG",25,"06-Feb",185,"Duke",947276
"146","Duje Dukan","Sacramento Kings",5,"PF",24,"06-Sep",220,"Wisconsin",525093
"147","Rudy Gay","Sacramento Kings",8,"SF",29,"06-Aug",230,"Connecticut",12403101
"148","Kosta Koufos","Sacramento Kings",41,"C",27,"7-0",265,"Ohio State",7700000
"149","Ben McLemore","Sacramento Kings",23,"SG",23,"06-May",195,"Kansas",3156600
"150","Eric Moreland","Sacramento Kings",25,"PF",24,"06-Oct",238,"Oregon State",845059
"151","Rajon Rondo","Sacramento Kings",9,"PG",30,"06-Jan",186,"Kentucky",9500000
"152","Cameron Bairstow","Chicago Bulls",41,"PF",25,"06-Sep",250,"New Mexico",845059
"153","Aaron Brooks","Chicago Bulls",0,"PG",31,"6-0",161,"Oregon",2250000
"154","Jimmy Butler","Chicago Bulls",21,"SG",26,"06-Jul",220,"Marquette",16407500
"155","Mike Dunleavy","Chicago Bulls",34,"SG",35,"06-Sep",230,"Duke",4500000
"156","Cristiano Felicio","Chicago Bulls",6,"PF",23,"06-Oct",275,"Kentucky",4805869.95305164
"157","Pau Gasol","Chicago Bulls",16,"C",35,"7-0",250,"Kentucky",7448760
"158","Taj Gibson","Chicago Bulls",22,"PF",24,"06-Sep",221.270783847981,"USC",8500000
"159","Justin Holiday","Chicago Bulls",7,"SG",27,"06-Jun",185,"Washington",947276
"160","Doug McDermott","Chicago Bulls",3,"SF",24,"06-Aug",225,"Creighton",2380440
"161","Nikola Mirotic","Chicago Bulls",44,"PF",25,"06-Oct",220,"Marquette",5543725
"162","E'Twaun Moore","Chicago Bulls",55,"SG",27,"06-Apr",191,"Purdue",1015421
"163","Joakim Noah","Chicago Bulls",5,"C",31,"06-Nov",232,"Florida",13400000
"164","Bobby Portis","Chicago Bulls",5,"PF",24,"06-Nov",230,"Arkansas",1391160
"165","Derrick Rose","Chicago Bulls",1,"PG",27,"06-Mar",190,"Memphis",20093064
"166","Tony Snell","Chicago Bulls",20,"SF",24,"06-Jul",200,"New Mexico",1535880
"167","Matthew Dellavedova","Cleveland Cavaliers",8,"PG",25,"06-Apr",221.270783847981,"Saint Mary's",1147276
"168","Channing Frye","Cleveland Cavaliers",9,"PF",33,"06-Nov",255,"Arizona",8193029
"169","Kyrie Irving","Cleveland Cavaliers",2,"PG",24,"06-Mar",193,"Duke",16407501
"170","LeBron James","Cleveland Cavaliers",23,"SF",31,"06-Aug",250,"Creighton",22970500
"171","Richard Jefferson","Cleveland Cavaliers",24,"SF",35,"06-Jul",221.270783847981,"Arizona",947276
"172","Dahntay Jones","Cleveland Cavaliers",30,"SG",35,"06-Jun",225,"Duke",4805869.95305164
"173","James Jones","Cleveland Cavaliers",1,"SG",35,"06-Aug",218,"Miami (FL)",947276
"174","Sasha Kaun","Cleveland Cavaliers",14,"C",24,"06-Nov",260,"Kansas",1276000
"175","Kevin Love","Cleveland Cavaliers",0,"PF",27,"06-Oct",251,"UCLA",19689000
"176","Jordan McRae","Cleveland Cavaliers",5,"SG",25,"06-May",179,"Tennessee",111196
"177","Timofey Mozgov","Cleveland Cavaliers",20,"C",29,"07-Jan",275,"Georgia Tech",4950000
"178","Iman Shumpert","Cleveland Cavaliers",4,"SG",25,"06-May",220,"Georgia Tech",8988765
"179","J.R. Smith","Cleveland Cavaliers",5,"SG",30,"06-Jun",225,"UCLA",5e+06
"180","Tristan Thompson","Cleveland Cavaliers",13,"C",25,"06-Sep",238,"Texas",14260870
"181","Mo Williams","Cleveland Cavaliers",52,"PG",33,"06-Jan",198,"Alabama",2100000
"182","Joel Anthony","Detroit Pistons",50,"C",33,"06-Sep",245,"UNLV",2500000
"183","Aron Baynes","Detroit Pistons",12,"C",29,"06-Oct",260,"Washington State",6500000
"184","Steve Blake","Detroit Pistons",22,"PG",36,"06-Mar",172,"Maryland",2170465
"185","Lorenzo Brown","Detroit Pistons",17,"PG",25,"06-May",221.270783847981,"North Carolina State",111444
"186","Reggie Bullock","Detroit Pistons",5,"SF",25,"06-Jul",205,"North Carolina",1252440
"187","Kentavious Caldwell-Pope","Detroit Pistons",5,"SG",23,"06-May",205,"Georgia",2891760
"188","Spencer Dinwiddie","Detroit Pistons",8,"PG",23,"06-Jun",200,"Colorado",845059
"189","Andre Drummond","Detroit Pistons",0,"C",22,"06-Nov",279,"Connecticut",3272091
"190","Tobias Harris","Detroit Pistons",34,"SF",23,"06-Sep",235,"Tennessee",1.6e+07
"191","Darrun Hilliard","Detroit Pistons",6,"SF",23,"06-Jun",205,"Villanova",6e+05
"192","Reggie Jackson","Detroit Pistons",1,"PG",26,"06-Mar",208,"Boston College",13913044
"193","Stanley Johnson","Detroit Pistons",3,"SF",20,"06-Jul",245,"Arizona",2841960
"194","Jodie Meeks","Detroit Pistons",20,"SG",28,"06-Apr",210,"Kentucky",6270000
"195","Marcus Morris","Detroit Pistons",13,"PF",26,"06-Sep",235,"Kansas",5e+06
"196","Anthony Tolliver","Detroit Pistons",43,"PF",31,"06-Aug",240,"Creighton",3e+06
"197","Lavoy Allen","Indiana Pacers",5,"PF",27,"06-Sep",255,"Temple",4050000
"198","Rakeem Christmas","Indiana Pacers",25,"PF",24,"06-Sep",250,"Syracuse",1007026
"199","Monta Ellis","Indiana Pacers",11,"SG",30,"06-Mar",221.270783847981,"Texas",10300000
"200","Paul George","Indiana Pacers",13,"SF",26,"06-Sep",220,"Fresno State",17120106
"201","George Hill","Indiana Pacers",3,"PG",30,"06-Mar",188,"IUPUI",8e+06
"202","Jordan Hill","Indiana Pacers",5,"C",28,"06-Oct",235,"Arizona",4805869.95305164
"203","Solomon Hill","Indiana Pacers",44,"SF",24,"06-Jul",225,"Arizona",1358880
"204","Ty Lawson","Indiana Pacers",10,"PG",28,"05-Nov",195,"North Carolina",211744
"205","Ian Mahinmi","Indiana Pacers",28,"C",29,"06-Nov",250,"Eastern Washington",4e+06
"206","C.J. Miles","Indiana Pacers",0,"SF",29,"06-Jun",231,"Fresno State",4394225
"207","Glenn Robinson III","Indiana Pacers",40,"SG",22,"06-Jul",222,"Michigan",1100000
"208","Rodney Stuckey","Indiana Pacers",2,"PG",30,"06-May",205,"Eastern Washington",7e+06
"209","Myles Turner","Indiana Pacers",33,"PF",20,"06-Nov",243,"Texas",2357760
"210","Shayne Whittington","Indiana Pacers",42,"PF",25,"06-Nov",250,"Western Michigan",845059
"211","Joe Young","Indiana Pacers",1,"PG",23,"06-Feb",180,"Oregon",1007026
"212","Giannis Antetokounmpo","Milwaukee Bucks",34,"SF",21,"06-Nov",222,"North Carolina",1953960
"213","Jerryd Bayless","Milwaukee Bucks",19,"PG",27,"06-Mar",200,"Arizona",3e+06
"214","Michael Carter-Williams","Milwaukee Bucks",5,"PG",24,"06-Jun",190,"Syracuse",2399040
"215","Jared Cunningham","Milwaukee Bucks",9,"SG",25,"06-Apr",195,"Oregon State",947276
"216","Tyler Ennis","Milwaukee Bucks",11,"PG",21,"06-Mar",221.270783847981,"Syracuse",1662360
"217","John Henson","Milwaukee Bucks",31,"PF",25,"06-Nov",229,"North Carolina",2943221
"218","Damien Inglis","Milwaukee Bucks",17,"SF",21,"06-Aug",246,"Arizona",855000
"219","O.J. Mayo","Milwaukee Bucks",3,"SG",28,"06-May",210,"USC",8e+06
"220","Khris Middleton","Milwaukee Bucks",22,"SG",24,"06-Aug",234,"Texas A&M",4805869.95305164
"221","Greg Monroe","Milwaukee Bucks",15,"C",26,"06-Nov",265,"Georgetown",16407500
"222","Steve Novak","Milwaukee Bucks",6,"SF",32,"06-Oct",225,"Marquette",295327
"223","Johnny O'Bryant III","Milwaukee Bucks",77,"PF",23,"06-Sep",257,"LSU",845059
"224","Jabari Parker","Milwaukee Bucks",12,"PF",21,"06-Aug",250,"Duke",5152440
"225","Miles Plumlee","Milwaukee Bucks",18,"C",24,"06-Nov",249,"Duke",2109294
"226","Greivis Vasquez","Milwaukee Bucks",21,"PG",29,"06-Jun",217,"Maryland",6600000
"227","Rashad Vaughn","Milwaukee Bucks",20,"SG",19,"06-Jun",202,"UNLV",1733040
"228","Justin Anderson","Dallas Mavericks",5,"SG",22,"06-Jun",221.270783847981,"Virginia",1449000
"229","J.J. Barea","Dallas Mavericks",5,"PG",31,"6-0",185,"Northeastern",4290000
"230","Jeremy Evans","Dallas Mavericks",21,"SF",28,"06-Sep",200,"Western Kentucky",1100602
"231","Raymond Felton","Dallas Mavericks",2,"PG",31,"06-Jan",205,"North Carolina",3950313
"232","Devin Harris","Dallas Mavericks",34,"PG",33,"06-Mar",185,"Wisconsin",4053446
"233","David Lee","Dallas Mavericks",42,"PF",33,"06-Sep",245,"Florida",2085671
"234","Wesley Matthews","Dallas Mavericks",23,"SG",29,"06-May",220,"Marquette",16407500
"235","JaVale McGee","Dallas Mavericks",11,"C",28,"7-0",270,"Nevada",1270964
"236","Salah Mejri","Dallas Mavericks",50,"C",29,"07-Feb",245,"Arizona",525093
"237","Dirk Nowitzki","Dallas Mavericks",41,"PF",37,"7-0",245,"Stanford",8333334
"238","Zaza Pachulia","Dallas Mavericks",27,"C",32,"06-Nov",275,"Gonzaga",4805869.95305164
"239","Chandler Parsons","Dallas Mavericks",25,"SF",24,"06-Oct",221.270783847981,"Florida",15361500
"240","Dwight Powell","Dallas Mavericks",7,"PF",24,"06-Nov",240,"Stanford",845059
"241","Charlie Villanueva","Dallas Mavericks",3,"PF",31,"06-Nov",232,"Connecticut",947276
"242","Deron Williams","Dallas Mavericks",8,"PG",31,"06-Mar",200,"Illinois",5378974
"243","Trevor Ariza","Houston Rockets",1,"SF",30,"06-Aug",215,"UCLA",8193030
"244","Michael Beasley","Houston Rockets",8,"SF",27,"06-Oct",235,"Kansas State",306527
"245","Patrick Beverley","Houston Rockets",2,"PG",27,"06-Jan",185,"Arkansas",6486486
"246","Corey Brewer","Houston Rockets",5,"SG",30,"06-Sep",186,"Florida",8229375
"247","Clint Capela","Houston Rockets",15,"PF",22,"06-Oct",240,"Louisville",1242720
"248","Sam Dekker","Houston Rockets",7,"SF",22,"06-Sep",221.270783847981,"Wisconsin",1646400
"249","Andrew Goudelock","Houston Rockets",0,"PG",27,"06-Mar",200,"Charleston",200600
"250","James Harden","Houston Rockets",13,"SG",26,"06-May",220,"Arizona State",15756438
"251","Montrezl Harrell","Houston Rockets",35,"PF",22,"06-Aug",221.270783847981,"Louisville",1e+06
"252","Dwight Howard","Houston Rockets",12,"C",30,"06-Nov",265,"Kansas State",4805869.95305164
"253","Terrence Jones","Houston Rockets",6,"PF",24,"06-Sep",252,"Kentucky",2489530
"254","K.J. McDaniels","Houston Rockets",32,"SG",23,"06-Jun",205,"Clemson",3189794
"255","Donatas Motiejunas","Houston Rockets",20,"PF",24,"7-0",221.270783847981,"Kentucky",2288205
"256","Josh Smith","Houston Rockets",5,"C",30,"06-Sep",225,"Ohio State",947276
"257","Jason Terry","Houston Rockets",31,"SG",38,"06-Feb",185,"Arizona",947276
"258","Jordan Adams","Memphis Grizzlies",3,"SG",21,"06-May",209,"UCLA",1404600
"259","Tony Allen","Memphis Grizzlies",9,"SG",34,"06-Apr",213,"Oklahoma State",5158539
"260","Chris Andersen","Memphis Grizzlies",7,"PF",37,"06-Oct",245,"Blinn College",5e+06
"261","Matt Barnes","Memphis Grizzlies",22,"SF",36,"06-Jul",226,"UCLA",3542500
"262","Vince Carter","Memphis Grizzlies",15,"SG",39,"06-Jun",220,"North Carolina",4088019
"263","Mike Conley","Memphis Grizzlies",11,"PG",28,"06-Jan",175,"Ohio State",9588426
"264","Bryce Cotton","Memphis Grizzlies",8,"PG",23,"06-Jan",165,"Providence",700902
"265","Jordan Farmar","Memphis Grizzlies",4,"PG",29,"06-Feb",180,"UCLA",4805869.95305164
"266","Marc Gasol","Memphis Grizzlies",33,"C",31,"07-Jan",255,"Kentucky",19688000
"267","JaMychal Green","Memphis Grizzlies",0,"PF",25,"06-Sep",227,"Alabama",4805869.95305164
"268","P.J. Hairston","Memphis Grizzlies",19,"SF",23,"06-Jun",230,"North Carolina",1201440
"269","Jarell Martin","Memphis Grizzlies",10,"PF",22,"06-Oct",239,"LSU",1230840
"270","Ray McCallum","Memphis Grizzlies",5,"PG",24,"06-Mar",190,"Detroit",4805869.95305164
"271","Xavier Munford","Memphis Grizzlies",14,"PG",24,"06-Mar",180,"Rhode Island",4805869.95305164
"272","Zach Randolph","Memphis Grizzlies",50,"PF",34,"06-Sep",260,"Michigan State",9638555
"273","Lance Stephenson","Memphis Grizzlies",1,"SF",25,"06-May",230,"Cincinnati",9e+06
"274","Alex Stepheson","Memphis Grizzlies",35,"PF",28,"06-Oct",270,"USC",4805869.95305164
"275","Brandan Wright","Memphis Grizzlies",34,"PF",28,"06-Oct",210,"North Carolina",5464000
"276","Alexis Ajinca","New Orleans Pelicans",42,"C",28,"07-Feb",248,"Kentucky",4389607
"277","Ryan Anderson","New Orleans Pelicans",33,"PF",28,"06-Oct",240,"California",8500000
"278","Omer Asik","New Orleans Pelicans",3,"C",29,"7-0",255,"Rhode Island",9213483
"279","Luke Babbitt","New Orleans Pelicans",8,"SF",26,"06-Sep",225,"Nevada",1100602
"280","Norris Cole","New Orleans Pelicans",30,"PG",27,"06-Feb",175,"Cleveland State",3036927
"281","Dante Cunningham","New Orleans Pelicans",44,"PF",29,"06-Aug",230,"Villanova",2850000
"282","Anthony Davis","New Orleans Pelicans",23,"PF",23,"06-Oct",221.270783847981,"Kentucky",7070730
"283","Bryce Dejean-Jones","New Orleans Pelicans",31,"SG",23,"06-Jun",203,"Iowa State",4805869.95305164
"284","Toney Douglas","New Orleans Pelicans",16,"PG",30,"06-Feb",195,"Florida State",1164858
